0--INFINITYM_BELOW_GROUND      地表下0米至无穷远
EFI_FOR_10M_WIND_OVER_CHINA      中国区域10米风速极端预报指数
EFI_FOR_24H_ACCUMULATIVE_RAINFALL_OVER_CHINA      中国区域24小时累计降水极端预报指数
EFI_FOR_2M_TEMPERATURE_OVER_CHINA      中国区域2米温度极端预报指数
ENTIRE_ATMOSPHERE      全部大气层
EQUAL      等经纬投影
EVAPORATION      蒸发
EXTRAPOLATION      雷达外推产品
FHS      热源点检测
FIELD_CAPACITY      田间持水量
FLERTAL      众数
FOG      雾
FORECAST_ALBEDO      预报反照率
FORECAST_PRODUCT      预报产品
FOREST_FIRE_RATING_FORECAST      森林火险气象等级24小时时效预报
FRACTION_OF_CLOUD_COVER      云层分数
FREEZING_RAIN03      3小时冻雨
FREEZING_RAIN06      6小时冻雨
FREEZING_RAIN12      12小时冻雨
FREEZING_RAIN24      24小时冻雨
FZRA      累计冻雨
GEOPOTENTIAL      位势
GERMAN_HR      德国细网格
GPSMET      GPS水汽
GRAPES_GEPS_ENSEMBLE      GRAPES_GEPS全球集合预报
GRAPES_GEPS_ENSEMBLE_PRODUCT      GRAPES_GEPS全球集合预报指导产品
GRAPES_GFS_CORRECTED      GRPAES_GFS降水订正
GRAPES_SEAFOG      GRAPES海雾模式
GRAPES_WAVE      GRAPES海浪模式
GRAUPEL      霰
GRID_PROBABILITY      面上概率预报
GROUND_HEAT_FLUX      地表感热通量
GUANGZHOU_HR      广州3公里区域模式
GUANGZHOU_MR      广州9公里区域模式
GUANGZHOU_RUC      广州逐时循环同化
HAIL      冰雹
HAINES_INDEX      HAINES指数
HAZE      霾
HCDC      高云量
HEAT_FLUX      感热通量
HEAVY_RAINFALL      短时强降水
HGT      高度
HGT_5WAVE      浪高
HI      冰雹指数
HIGHEST_TROPOSPHERIC_FREEZING      对流层冻结最高处
HIGH_CLOUD      高云
HIGH_CLOUD_BOTTOM      高云底
HIGH_CLOUD_TOP      高云顶
HMW8      葵花8卫星
HORIZONTAL_EXTENT_OF_CUMULONIMBUS      积雨云量
HORIZONTAL_STRESS      东西向应力
HORIZONTAL_VISIBILITY_1MIN_ALL_STATION      国家站区域站1分钟平均水平能见度
HPBL      行星边界层高度
HPF      云区相对湿度
